Address,Values,,,Description,,
726-13-01,xxxx,x*xx,xxxx,Keyless Entry And Start,,
726-13-01,xxxx,xx*x,xxxx,"Four Wheel Drive Type: 4=standard 4x4, 8=4x4 Auto",,
726-13-01,xxxx,xxx*,*xxx,Steering Wheel Location & Gearbox Type (manual/auto),,
726-13-01,xxxC,xxxx,xxxx,Adaptive Cruise Control enabled,,
726-13-01,xxx8,xxxx,xxxx,Adaptive Cruise Control disabled,,
726-13-02,0042,,,,,
726-14-01,0001,0000,0245,,,
726-14-01,****,xxxx,xxxx,Electrical System Delay Time Cfg,,
726-14-01,xxxx,x*xx,xxxx,"Electric Charge Port Present Cfg: 0=not present, 1=present",,
726-14-01,xxxx,xxx*,xxxx,"ESCL Enable Cfg: 0=disable, 1=enable",,
726-14-01,xxxx,xxxx,x*xx,"ESCL Factory Lock Cfg: 1=lock, 2=unlock",,
726-14-02,**xx,xxxx,xxxx,Feature Cfg Auto Lamps Delay[person1] (seconds converted to hex),,
726-14-02,xx**,xxxx,xxxx,Feature Cfg Auto Lamps Delay[person2] (seconds converted to hex),,
726-14-02,xxxx,**xx,xxxx,Feature Cfg Auto Lamps Delay[person3] (seconds converted to hex),,
726-14-02,xxxx,xx**,xxxx,Feature Cfg Auto Lamps Delay[person4] (seconds converted to hex),,
726-14-02,xxxx,xxxx,**xx,Feature Cfg Auto Lamps Delay[vehicle] (seconds converted to hex),,
726-15-01,x*xx,xxxx,xxxx,"Feature Cfg Auto Lock[person1]: 0=disable, 1=enabled, 2=INOP",,
726-15-01,xxx*,xxxx,xxxx,"Feature Cfg Auto Lock[person2]: 0=disable, 1=enabled, 2=INOP",,
726-15-01,xxxx,x*xx,xxxx,"Feature Cfg Auto Lock[person3]: 0=disable, 1=enabled, 2=INOP",,
726-15-01,xxxx,xxx*,xxxx,"Feature Cfg Auto Lock[person4]: 0=disable, 1=enabled, 2=INOP",,
726-15-01,xxxx,xxxx,x*xx,"Feature Cfg Auto Lock[vehicle]: 0=disable, 1=enabled, 2=INOP",,
726-15-02,x*xx,xxxx,xxxx,"Feature Cfg Auto Relock[person1]: 0=disable, 1=enabled, 2=INOP",Auto Relock on 2017-present also requires 726-21-01	xxxx	x1xx	xxxx,
726-15-02,xxx*,xxxx,xxxx,"Feature Cfg Auto Relock[person2]: 0=disable, 1=enabled, 2=INOP",,
726-15-02,xxxx,x*xx,xxxx,"Feature Cfg Auto Relock[person3]: 0=disable, 1=enabled, 2=INOP",,
726-15-02,xxxx,xxx*,xxxx,"Feature Cfg Auto Relock[person4]: 0=disable, 1=enabled, 2=INOP",,
726-15-02,xxxx,xxxx,x*xx,"Feature Cfg Auto Relock[vehicle]: 0=disable, 1=enabled, 2=INOP",,
726-16-01,x*xx,xxxx,xxxx,"Feature Cfg Auto Unlock[person1]: 0=disable, 1=enabled, 2=INOP",,
726-16-01,xxx*,xxxx,xxxx,"Feature Cfg Auto Unlock[person2]: 0=disable, 1=enabled, 2=INOP",,
726-16-01,xxxx,x*xx,xxxx,"Feature Cfg Auto Unlock[person3]: 0=disable, 1=enabled, 2=INOP",,
726-16-01,xxxx,xxx*,xxxx,"Feature Cfg Auto Unlock[person4]: 0=disable, 1=enabled, 2=INOP",,
726-16-01,xxxx,xxxx,x*xx,"Feature Cfg Auto Unlock[vehicle]: 0=disable, 1=enabled, 2=INOP",,
726-16-02,x*xx,xxxx,xxxx,"Feature Cfg DRL by Auto Lamps[person1]: 0=disable, 1=enabled, 2=INOP",<-- cluster controlled,
726-16-02,xxx*,xxxx,xxxx,"Feature Cfg DRL by Auto Lamps[person2]: 0=disable, 1=enabled, 2=INOP",,
726-16-02,xxxx,x*xx,xxxx,"Feature Cfg DRL by Auto Lamps[person3]: 0=disable, 1=enabled, 2=INOP",,
726-16-02,xxxx,xxx*,xxxx,"Feature Cfg DRL by Auto Lamps[person4]: 0=disable, 1=enabled, 2=INOP",,
726-16-02,xxxx,xxxx,x*xx,"Feature Cfg DRL by Auto Lamps[vehicle]: 0=disable, 1=enabled, 2=INOP",,
726-17-01,x*xx,xxxx,xxxx,"Feature Cfg Global Close[person1]: 0=disabled, 1=enabled",DanMc85's findings,
726-17-01,xxx*,xxxx,xxxx,"Feature Cfg Global Close[person2]: 0=disabled, 1=enabled",,
726-17-01,xxxx,x*xx,xxxx,"Feature Cfg Global Close[person3]: 0=disabled, 1=enabled",,
726-17-01,xxxx,xxx*,xxxx,"Feature Cfg Global Close[person4]: 0=disabled, 1=enabled",,
726-17-01,xxxx,xxxx,x*xx,"Feature Cfg Global Close[vehicle]: 0=disabled, 1=enabled",,
726-17-02,x*xx,xxxx,xxxx,"Feature Cfg Global Open[person1]: 0=disabled, 1=enabled",,
726-17-02,xxx*,xxxx,xxxx,"Feature Cfg Global Open[person2]: 0=disabled, 1=enabled",,
726-17-02,xxxx,x*xx,xxxx,"Feature Cfg Global Open[person3]: 0=disabled, 1=enabled",,
726-17-02,xxxx,xxx*,xxxx,"Feature Cfg Global Open[person4]: 0=disabled, 1=enabled",,
726-17-02,xxxx,xxxx,x*xx,"Feature Cfg Global Open[vehicle]: 0=disabled, 1=enabled",,
726-18-01,x*xx,xxxx,xxxx,"Feature Cfg Mislock Horn[person1]: 0=disabled, 1=enabled, 2=INOP",,
726-18-01,xxx*,xxxx,xxxx,"Feature Cfg Mislock Horn[person2]: 0=disabled, 1=enabled, 2=INOP",,
726-18-01,xxxx,x*xx,xxxx,"Feature Cfg Mislock Horn[person3]: 0=disabled, 1=enabled, 2=INOP",,
726-18-01,xxxx,xxx*,xxxx,"Feature Cfg Mislock Horn[person4]: 0=disabled, 1=enabled, 2=INOP",,
726-18-01,xxxx,xxxx,x*xx,"Feature Cfg Mislock Horn[vehicle]: 0=disabled, 1=enabled, 2=INOP",,
726-18-02,x*xx,xxxx,xxxx,"Feature Cfg OneTwo Stage Unlock[person1]: 0=one stage, 1=two stage",,
726-18-02,xxx*,xxxx,xxxx,"Feature Cfg OneTwo Stage Unlock[person2]: 0=one stage, 1=two stage",,
726-18-02,xxxx,x*xx,xxxx,"Feature Cfg OneTwo Stage Unlock[person3]: 0=one stage, 1=two stage",,
726-18-02,xxxx,xxx*,xxxx,"Feature Cfg OneTwo Stage Unlock[person4]: 0=one stage, 1=two stage",,
726-18-02,xxxx,xxxx,x*xx,"Feature Cfg OneTwo Stage Unlock[vehicle]: 0=one stage, 1=two stage",,
726-19-01,x*xx,xxxx,xxxx,"Feature Cfg Park Lock Control[person1]: 0=disable, 1=enabled",,
726-19-01,xxx*,xxxx,xxxx,"Feature Cfg Park Lock Control[person2]: 0=disable, 1=enabled",,
726-19-01,xxxx,x*xx,xxxx,"Feature Cfg Park Lock Control[person3]: 0=disable, 1=enabled",,
726-19-01,xxxx,xxx*,xxxx,"Feature Cfg Park Lock Control[person4]: 0=disable, 1=enabled",,
726-19-01,xxxx,xxxx,x*xx,"Feature Cfg Park Lock Control[vehicle]: 0=disable, 1=enabled",,
726-19-02,x*xx,xxxx,xxxx,"Feature Cfg PASE[person1]: 0=disabled, 1=enabled, 2=INOP",,
726-19-02,xxx*,xxxx,xxxx,"Feature Cfg PASE[person2]: 0=disabled, 1=enabled, 2=INOP",,
726-19-02,xxxx,x*xx,xxxx,"Feature Cfg PASE[person3]: 0=disabled, 1=enabled, 2=INOP",,
726-19-02,xxxx,xxx*,xxxx,"Feature Cfg PASE[person4]: 0=disabled, 1=enabled, 2=INOP",,
726-19-02,xxxx,xxxx,x*xx,"Feature Cfg PASE[vehicle]: 0=disabled, 1=enabled, 2=INOP",,
726-20-01,x*xx,xxxx,xxxx,"Feat Cfg Remote Start Duration1: 0=off, 1=5min, 2=10min, 3=15min",,
726-20-01,xxx*,xxxx,xxxx,"Feat Cfg Remote Start Duration2: 0=off, 1=5min, 2=10min, 3=15min",,
726-20-01,xxxx,x*xx,xxxx,"Feat Cfg Remote Start Duration3: 0=off, 1=5min, 2=10min, 3=15min",,
726-20-01,xxxx,xxx*,xxxx,"Feat Cfg Remote Start Duration4: 0=off, 1=5min, 2=10min, 3=15min",,
726-20-01,xxxx,xxxx,x*xx,"Feat Cfg Remote Start Duration5: 0=off, 1=5min, 2=10min, 3=15min",,
726-20-02,x*xx,xxxx,xxxx,"Feature Cfg Trim Switch Inhibit[person1]: 0=disabled, 1=enabled",,
726-20-02,xxx*,xxxx,xxxx,"Feature Cfg Trim Switch Inhibit[person2]: 0=disabled, 1=enabled",,
726-20-02,xxxx,x*xx,xxxx,"Feature Cfg Trim Switch Inhibit[person3]: 0=disabled, 1=enabled",,
726-20-02,xxxx,xxx*,xxxx,"Feature Cfg Trim Switch Inhibit[person4]: 0=disabled, 1=enabled",,
726-20-02,xxxx,xxxx,x*xx,"Feature Cfg Trim Switch Inhibit[vehicle]: 0=disabled, 1=enabled",,
726-21-01,**xx,xxxx,xxxx,FeatLst to BCM Auto Lamps Delay Initial Value,,
726-21-01,xxx*,xxxx,xxxx,"FeatLst to BCM Auto Lock Initital Value: 0=disable, 1=enable, 2=INOP",,
726-21-01,xxxx,x*xx,xxxx,"FeatLst to BCM Auto Relock Init Value: 0=disable, 1=enable, 2=INOP",,
726-21-01,xxxx,xxx*,xxxx,"FeatLst to BCM Auto Unlock Init Value: 0=disable, 1=enable, 2=INOP",,
726-21-01,xxxx,xxxx,x*xx,"FeatLst to BCM DRL by Autolamps Init Value: 0=disable, 1=enable, 2=INOP",,
,,,,,,
726-21-02,x*xx,xxxx,xxxx,"FeatLst to BCM Global Close Init Value: 0=disable, 1=enable",,
726-21-02,xxx*,xxxx,xxxx,"FeatLst to BCM Global Open Init Value: 0=disable, 1=enable",,
726-21-02,xxxx,x*xx,xxxx,"FeatLst to BCM Mislock Horn Init Value: 0=disable, 1=enable, 2=INOP",,
726-21-02,xxxx,xxx*,xxxx,"FeatLst to BCM OneTwoStage Unlock InitVal: 0=one stage, 1=two stage",,
726-21-02,xxxx,xxxx,x*xx,"FeatLst to BCM Park Lock Control InitVal: 0=disabled, 1=enabled",,
726-22-01,x*xx,xxxx,xxxx,"FeatLst to BCM PASE Initital Value: 0=disabled, 1=enable, 2=INOP",,
726-22-01,xxx*,xxxx,xxxx,"FeatLst to BCM Remote Start Duration InitVal: 0=off, 1=5min, 2=10min, 3=15min",,
726-22-01,xxxx,x*xx,xxxx,"FeatLst to BCM Trim Switch Inhibit InitVal: 0=disable, 1=enable",,
726-22-01,xxxx,xxx*,xxxx,"Ignition Power Shutdown Enable Cfg: 0=disable, 1=enabled",,
726-22-01,xxxx,xxxx,x*xx,"Park Lock Control D Allow Cfg: 0=Less Park Lock Control, 1=Allow Sust enable for parking, 2=Allow Temp enable for towing, 3=Allow for either parking or towing",,
726-22-02,x*xx,xxxx,xxxx,"Rear Fold Cfg: 0=disable, 1=enable",,
726-22-02,xxx*,xxxx,xxxx,"Remote Start Enable Cfg: 0=disabled, 1=enabled",,
726-22-02,xxxx,x*xx,xxxx,"Slave Exists SCL (Steering Column Lock) Cfg: 0=disabled, 1=enabled",DO NOT CHANGE THIS or your courtesy lights may not function correctly ever again,
,,,,,,
,,,,,,
726-22-02,xxxx,xxx*,xxxx,"Transmission Shift Type: 0=button, 1=lever, 2=rotary",,
726-22-02,xxxx,xxxx,**xx,"Passenger Transit Lock Cfg: 55=transit, AA=normal",,
726-23-01,x*xx,,,"Key Source Cfg - Special Requirement: 0=Null, 1=Key Cyl, 2=Passive, 3=Pushbutton",,
726-24-01,x*xx,xxxx,xxxx,"Decklid Type Cfg: 0=manual, 1=power",,
726-24-01,xxx*,xxxx,xxxx,"Fob Liftgate First Press Cfg: 0=disable, 2=enable",,
726-24-01,xxxx,x*xx,xxxx,"Liftgate Type Cfg: 0=manual, 1=power",,
726-24-01,xxxx,xx*x,xxxx,RF DRL (RFD) / LF DRL (LFD) / RF Position Lamp (RFP) / LF Position Lamp (LFP) - Circuit DTC (Normal/Inhibited),,
,,,,"0=RFD norm, LFD norm, RFP norm, LFP norm","8=RDD inhib, LFD norm, RFP norm, LFP norm",
,,,,"1=RFD norm, LFD norm, RFP norm, LFP inhib","9=RFD inhib, LFD norm, RFP norm, LFP inhib",
,,,,"2=RFD norm, LFD norm, RFP inhib, LFP norm","A=RFD inhib, LFD norm, RFP inhib, LFP norm",
,,,,"3=RFD norm, LFD norm, RFP inhib, LFP inhib","B=RFD inhib, LFD norm, RFP inhib, LFP inhib",
,,,,"4=RFD norm, LFD inhib, RFP norm, LFP norm","C=RFD inhib, LFD inhib, RFP norm, LFP norm",
,,,,"5=RFD norm, LFD inhib, RFP norm, LFP inhib","D=RFD inhib, LFD inhib, RFP norm, LFP inhib",
,,,,"6=RFD norm, LFD inhib, RFP inhib, LFP norm","E=RFD inhib, LFD inhib, RFP inhib, LFP norm",
,,,,"7=RFD norm, LFD inhib, RFP inhib, LFP inhib","F=RFD inhib, LFD inhib, RFP inhib, LFP inhib",
726-24-01,xxxx,xxx*,xxxx,RR Turn (RRT) / LR Turn (LRT) / RF Turn (RFT) / LF Turn (LFT) - Circuit DTC (Normal/Inhibited),,
,,,,"0=RRT norm, LRT norm, RFT norm, LFT norm","8=RRT inhib, LRT norm, RFT norm, LFT norm",
,,,,"1=RRT norm, LRT norm, RFT norm, LFT inhib","9=RRT inhib, LRT norm, RFT norm, LFT inhib",
,,,,"2=RRT norm, LRT norm, RFT inhib, LFT norm","A=RRT inhib, LRT norm, RFT inhib, LFT norm",
,,,,"3=RRT norm, LRT norm, RFT inhib, LFT inhib","B=RRT inhib, LRT norm, RFT inhib, LFT inhib",
,,,,"4=RRT norm, LRT inhib, RFT norm, LFT norm","C=RRT inhib, LRT inhib, RFT norm, LFT norm",
,,,,"5=RRT norm, LRT inhib, RFT norm, LFT inhib","D=RRT inhib, LRT inhib, RFT norm, LFT inhib",
,,,,"6=RRT norm, LRT inhib, RFT inhib, LFT norm","E=RRT inhib, LRT inhib, RFT inhib, LFT norm",
,,,,"7=RRT norm, LRT inhib, RFT inhib, LFT inhib","F=RRT inhib, LRT inhib, RFT inhib, LFT inhib",
726-24-01,xxxx,xxxx,*xxx,Interior Lighting (IL) / White Lighting (WL) / Backlighting LED (BL) / Rear Fog Lamp (RFL) - Circuit DTC (Normal/Inhibited),,
,,,,"0=IL norm, WL norm, BL norm, RFL norm","8=IL inhib, WL norm, BL norm, RFL norm",
,,,,"1=IL norm, WL norm, BL norm, RFL inhib","9=IL inhib, WL norm, BL norm, RFL inhib",
,,,,"2=IL norm, WL norm, BL inhib, RFL norm","A=IL inhib, WL norm, BL inhib, RFL norm",
,,,,"3=IL norm, WL norm, BL inhib, RFL inhib","B=IL inhib, WL norm, BL inhib, RFL inhib",
,,,,"4=IL norm, WL inhib, BL norm, RFL norm","C=IL inhib, WL inhib, BL norm, RFL norm",
,,,,"5=IL norm, WL inhib, BL norm, RFL inhib","D=IL inhib, WL inhib, BL norm, RFL inhib",
,,,,"6=IL norm, WL inhib, BL inhib, RFL norm","E=IL inhib, WL inhib, BL inhib, RFL norm",
,,,,"7=IL norm, WL inhib, BL inhib, RFL inhib","F=IL inhib, WL inhib, BL inhib, RFL inhib",
726-24-01,xxxx,xxxx,x*xx,Reverse Lamp (RL) / Park Lamps Engine (PLE) / Park Lamps Body (PLB) / Stop Lamps CHMSL (SLC) - Circuit DTC (Norm/Inhib),,
,,,,"0=RL norm, PLE norm, PLB norm, SLC norm","8=RL inhib, PLE norm, PLB norm, SLC norm",
,,,,"1=RL norm, PLE norm, PLB norm, SLC inhib","9=RL inhib, PLE norm, PLB norm, SLC inhib",
,,,,"2=RL norm, PLE norm, PLB inhib, SLC norm","A=RL inhib, PLE norm, PLB inhib, SLC norm",
,,,,"3=RL norm, PLE norm, PLB inhib, SLC norm","B=RL inhib, PLE norm, PLB inhib, SLC inhib",
,,,,"4=RL norm, PLE inhib, PLB norm, SLC norm","C=RL inhib, PLE inhib, PLB norm, SLC norm",
,,,,"5=RL norm, PLE inhib, PLB norm, SLC inhib","D=RL inhib, PLE inhib, PLB norm, SLC inhib",
,,,,"6=RL norm, PLE inhib, PLB inhib, SLC norm","E=RL inhib, PLE inhib, PLB inhib, SLC norm",
,,,,"7=RL norm, PLE inhib, PLB inhib, SLC inhib","F=RL inhib, PLE inhib, PLB inhib, SLC inhib",
726-24-02,x*xx,xxxx,xxxx,"Puddle Lamp Cirtuit DTC: 0=Normal, 1=Inhibited",,
726-25-01,x*xx,xxxx,xxxx,"Deck Lid Key Switch Cfg: 0=disable, 1=enable",,
726-25-01,xxx*,xxxx,xxxx,"DF Door Key Cfg: 0=disable, 1=enable",,
726-25-01,xxxx,x*xx,xxxx,"Liftgate Trunk Cfg: 0=none, 1=liftgate, 2=trunk",,
726-25-01,xxxx,xxx*,xxxx,"Number of Side Doors: 0=four, 1=two",,
726-25-01,xxxx,xxxx,x*xx,"Double Lock Cfg: 0=double, 1=single",,
726-25-02,x*xx,xxxx,xxxx,"Transit Vehicle Rear Cfg: 0=liftgate, 1=RHCD",,
726-25-02,xxx*,xxxx,xxxx,"Headlamp Style Cfg: 0=BI_FUNC Halogen, 1=BI_FUNC HID, 2=Dual, 3=Quad",,
726-25-02,xxxx,x*xx,xxxx,"Parking with License Lamps Cfg: 0=disable, 1=enable",,
726-26-01,x*xx,xxxx,xxxx,"Ambient Light Sensor Present Cfg: 0=not present, 1=present",,
726-26-01,xxx*,xxxx,xxxx,"Ambient Light Sensor Type Cfg: 0=Slow_FNA, 1=Fast_Row",,
,,,,"0=15 seconds delay turning on headlamps when dark, 1=2 seconds delay turning on headlamps when dark",,
726-26-01,xxxx,x*xx,xxxx,"Cornering Present Cfg: 0=disabled, 1=enabled",,
726-26-01,xxxx,xxx*,xxxx,"Ctrl Stop Position Cfg: 0=Duty_Duty, 1=Duty_VRMS, 2=VRMS_Duty, 3=VRMS_VRMS",,
726-26-01,xxxx,xxxx,x*xx,"DRL Conditions Cfg: 0=Option A, 1=Option B",,
,,,,Option A=headlamp switch must be in Auto position for DRLs,,
,,,,Option B=headlamp switch can be in any position for DRLs,<-- DRLs don't shut off with this value even when truck is shut down and doors shut,
726-26-02,x*xx,xxxx,xxxx,"DRL Include Park Lamps: 1=enable, 0=disable",,
726-26-02,xxx*,xxxx,xxxx,"DRL Switchback w/Turn Signal: 0=disable, 1=enable",DanMc85's findings,
726-26-02,xxxx,x*xx,xxxx,"Emergency Brake Light Enable Cfg: 0=disabled, 1=enabled",,
726-26-02,xxxx,xxx*,xxxx,"Frequency Select Cfg: 0=Type 0 (LED), 1=Type 1 (Halogen), 2=Type 2, 3=Type 3 ",,
,,,,**Set to 0 for Halogen to OEM LED conversion,,
726-26-02,xxxx,xxxx,x*xx,"Outage Headlamps Cfg: 0=none, 1=both, 2=high, 3=low",,
726-27-01,0000,xxxx,xxxx,Front Light Outage Detection Disable when adding aftermarket LEDs/HIDs in Halogen Bucket,bhamilton's findings 1/2/17,
726-27-01,x*xx,xxxx,xxxx,"Front bulb turn outage cfg: 1=outage, 0=no outage",jm061's findings 8-14-16,
726-27-01,xxx*,xxxx,xxxx,"Front LED turn outage cfg: 0=no outage, 1=outage",,
726-27-01,xxxx,x*xx,xxxx,"Front Fog Auto Cancel Cfg: 0=no cancel, 1=cancel",,
726-27-01,xxxx,xxx*,xxxx,"Front Fog with High Beams Cfg: 0=allow, 1=inhibit",,
726-27-01,xxxx,xxxx,*xxx,"High Beam Mode Cfg: 0=Auto Cancel, 1=persistent",,
726-27-02,x*xx,xxxx,xxxx,"ABM outage cfg: 1=outage, 0=no outage",,
726-27-02,xxx*,xxxx,xxxx,"Low Beam outage cfg: 1=outage, 0=no outage",,
726-27-02,xxxx,x*xx,xxxx,"Trailer outage: 1=outage, 0=no outage",,
726-27-02,xxxx,xxx*,xxxx,"Rain Light Sensor Present Cfg: 0=not present, 1=present",,
726-27-02,xxxx,xxxx,x*xx,"Rear bulb turn outage cfg: 1=outage, 0=no outage",jm061's findings 8-14-16,
726-28-01,x*xx,xxxx,xxxx,"Rear LED turn outage cfg: 0=no outage, 1=outage",,
726-28-01,xxx*,xxxx,xxxx,"Rear LED turn outage circuit used cfg: 0=Stop_Position Lamp, 1=Turn_Lamp",,
726-28-01,xxxx,x*xx,xxxx,"Rear Fog Enable Cfg: 0=disabled, 1=enabled",,
726-28-01,xxxx,xxx*,xxxx,"Rear Fog with Trailer Cfg: 0=allow, 1=inhibit",,
726-28-01,xxxx,xxxx,x*xx,"Stop Position Lamp Cfg: 0=Position_Only, 1=Stop_Only, 2=Stop_Position, 3=Stop_Position_Turn, 4=Stop_Turn",,
726-28-02,x*xx,xxxx,xxxx,"Lincoln Experience Cfg: 1=Lincoln Experience1, 0=null",,
726-28-02,xxx*,xxxx,xxxx,"Rear LED Turn Outage Liftgate Cfg: 0=null, 1=no outage",,
726-28-02,xxxx,x*xx,xxxx,"Front Fog Circuit With Turn Cfg: 0=allow, 1=inhibit",,
,,,,"** Fog Light as switchback: 1=enable, 0=disable **",confirmed by member Ryan_B,
726-28-02,xxxx,xxx*,xxxx,"Park Lamps Engine Cfg: 0=Position_Only, 1=Stop_Only",,
726-28-02,xxxx,xxxx,x*xx,"Rear Turn Lamp Cfg: 0=Stop_Turn, 1=Turn_Only",,
726-29-01,x*xx,xxxx,xxxx,Vrms Reduce Fog Lamp Cfg (volts),,
726-29-01,xxx*,xxxx,xxxx,"Vrms Reduce Fog Lamp Enable Cfg: 0=disabled, 1=enabled",,
726-29-01,xxxx,x*xx,xxxx,Vrms Reduce Low Beam Cfg (volts),,
726-29-01,xxxx,xxx*,xxxx,"Vrms Reduce Low Beam Enable Cfg: 0=disabled, 1=enabled",,
726-29-01,xxxx,xxxx,x*xx,"Vrms Target Sel Cfg: 0=Type 0, 1=Type 1, 2=Type 2, 3=Type 3",,
726-29-02,x*xx,xxxx,xxxx,"DRL Position Lamp Cfg: 0=DRL_Only, 1=DRL_Position, 2=Fixed DRL Position, 3=Stop Turn",setting to 1 has been reported to allow DRLs at full brightness on 2018+ trucks,
726-29-02,xxx*,xxxx,xxxx,"Front Turn Position Lamps Cfg: 0=Turn_Only, 1=Turn_Position",,
