Address,Byte Values,,,Image Processing Module-A IPMA 706-XX-XX,,Notes
,,,,"3=CWC Disabled, AHB Disabled, LDW Enabled, LKA Enabled","B=CWC Enabled, AHB Disabled, LDW Enabled, LKA Enabled",
,,,,"4=CWC Disabled, AHB Enabled, LDW Disabled, LKA Disabled","C=CWC Enabled, AHB Enabled, LDW Disabled, LKA Disabled",
,,,,"5=CWC Disabled, AHB Enabled, LDW Disabled, LKA Enabled","D=CWC Enabled, AHB Enabled, LDW Disabled, LKA Enabled",
,,,,"6=CWC Disabled, AHB Enabled, LDW Enabled, LKA Disabled","E=CWC Enabled, AHB Enabled, LDW Enabled, LKA Disabled",
,,,,"7=CWC Disabled, AHB Enabled, LDW Enabled, LKA Enabled","F=CWC Enabled, AHB Enabled, LDW Enabled, LKA Enabled",
706-01-01,xx**,xxxx,xxxx,"Driver Assist System Factory Config (DAS), Lane Assist Switch Config (LAS), Windshield Heater Config (WHC)",,
,,,,"00=DAS Disabled, LAS Direct, WHC None","80=DAS Enabled, LAS Direct, WHC None",
,,,,"08=DAS Disabled, LAS Direct, WHC Direct","88=DAS Enabled, LAS Direct, WHC Direct",
,,,,"10=DAS Disabled, LAS Direct, WHC Network","90=DAS Enabled, LAS Direct, WHC Network",
,,,,"20=DAS Disabled, LAS Network, WHC None","A0=DAS Enabled, LAS Network, WHC None",
,,,,"28=DAS Disabled, LAS Network, WHC Direct","A8=DAS Enabled, LAS Network, WHC Direct",
,,,,"30=DAS Disabled, LAS Network, WHC Network","B0=DAS Enabled, LAS Network, WHC Network",
706-01-01,xxxx,**xx,xxxx,"Vehicle Type Config (VTC), Windshield Type Config (WTC)",,
,,,,"D8=VTC P552N, WTC Base",,
,,,,"DA=VTC P552N, WTC Acoustic",,
,,,,"DC=VTC P552N, WTC IR Coated",,
706-01-01,xxxx,xx*x,xxxx,Wheel Size Config,,
,,,,0=15in,4=19in,
,,,,1=16in,5=20in,
,,,,2=17in,6=21in,
,,,,3=18in,7=22in,
706-01-01,xxxx,xxx*,xxxx,Region Config,,
,,,,0=USA,4=APA,
,,,,1=Canada,"5=EUR-LH (LH side of road, Vehicle RH Drive, UK)",
,,,,2=GCC,"6=EUR RH (RH side of road, Vehicle LH Drive - Mainland Europe)",
,,,,3=JPN,7=China,
706-01-01,xxxx,xxxx,*xxx,"Headlamp Type Config (HTC), Driveline Type Config (DTC)",,
,,,,"0=HTC Halogen, DTC 4x2","3=HTC Xenon HID, DTC 4x4",
,,,,"1=HTC Halogen, DTC 4x4","4=HTC LED, DTC 4x2",
,,,,"2=HTC Xenon HID, DTC 4x2","5=HTC LED, DTC 4x4",
706-01-01,xxxx,xxxx,x*xx,WheelBase Config,,
,,,,0=WheelBase1,8=WheelBase9,
,,,,1=WheelBase2,9=WheelBase10,
,,,,2=WheelBase3,A=WheelBase11,
,,,,3=WheelBase4,B=WheelBase12,
,,,,4=WheelBase5,C=WheelBase13,
,,,,5=WheelBase6,D=WheelBase14,
,,,,6=WheelBase7,E=WheelBase15,
,,,,7=WheelBase8,F=WheelBase16,
,,,,,,
706-01-02,*xxx,xxxx,,"Payload Config (PC), LA Actuator Type (LAT)",,
,,,,"0=PC Normal, LAT None","8=PC Heavy, LAT None",
,,,,"1=PC Normal, LAT Haptic","9=PC Heavy, LAT Haptic",
,,,,"2=PC Normal, LAT Power","A=PC Heavy, LAT Power",
,,,,"3=PC Normal, LAT Adaptive","B=PC Heavy, LAT Adaptive",
706-01-02,x*xx,xxxx,,"Traffic Type (TT), Overhead Frequency (OF), AHB Type (AHB)",,
,,,,"0=TT 0, OF 60Hz, AHB NA-Style","8=TT 1, OF 60Hz, AHB NA-Style",
,,,,"1=TT 0, OF 60Hz, AHB China-Style","9=TT 1, OF 60Hz, AHB China-Style",
,,,,"2=TT 0, OF 60Hz, AHB ECE-Style","A=TT 1, OF 60Hz, AHB ECE-Style",
,,,,"3=TT 0, OF 60Hz, AHB Hybrid-Style","B=TT 1, OF 60Hz, AHB Hybrid-Style",
,,,,"4=TT 0, OF 50Hz, AHB NA-Style","C=TT 1, OF 50Hz, AHB NA-Style",
,,,,"5=TT 0, OF 50Hz, AHB China-Style","D=TT 1, OF 50Hz, AHB China-Style",
,,,,"6=TT 0, OF 50Hz, AHB ECE-Style","E=TT 1, OF 50Hz, AHB ECE-Style",
,,,,"7=TT 0, OF 50Hz, AHB Hybrid-Style","F=TT 1, OF 50Hz, AHB Hybrid-Style",
,,,,"Note:
TT0=vehicle is on right hand side of road, oncoming traffic passes to the left (NA, LHD countries)
TT1=vehicle is on left hand side of road, oncoming traffic passes to the right (UK, RHD countries)",,
706-01-02,xx*x,xxxx,,Alignment Type,,
,,,,0=Classic,8=TwinTAC,
,,,,4=Use Wheelhouse Heights,,
706-01-02,xxx*,**xx,,Not Defined,,
,,,,,,
706-02-01,*xxx,xxxx,xxxx,"DTC $91C746 Calibration Memory Failure (CMF), DTC $F00042 Strategy Memory Failure (SMF)",,
,,,,"0=CMF Suppressed, SMF Suppressed","8=CMF Self Test Only, SMF Suppressed",
,,,,"1=CMF Suppressed, SMF Continuous Only","9=CMF Self Test Only, SMF Continuous Only",
,,,,"2=CMF Suppressed, SMF Self Test Only","A=CMF Self Test Only, SMF Self Test Only",
,,,,"3=CMF Suppressed, SMF Fully Enabled","B=CMF Self Test Only, SMF Fully Enabled",
,,,,"4=CMF Continuous Only, SMF Suppressed","C=CMF Fully Enabled, SMF Suppressed",
,,,,"5=CMF Continuous Only, SMF Continuous Only","D=CMF Fully Enabled, SMF Continuous Only",
,,,,"6=CMF Continuous Only, SMF Self Test Only","E=CMF Fully Enabled, SMF Self Test Only",
,,,,"7=CMF Continuous Only, SMF Fully Enabled","F=CMF Fully Enabled, SMF Fully Enabled",
706-02-01,x*xx,xxxx,xxxx,"DTC $91C797 Imager Blocked (IB), DTC $F00093 Imager Malfunction (IM)",,
,,,,"0=IB Suppressed, IM Suppressed","8=IB Self Test Only, IM Suppressed",
,,,,"1=IB Suppressed, IM Continuous Only","9=IB Self Test Only, IM Continuous Only",
,,,,"2=IB Suppressed, IM Self Test Only","A=IB Self Test Only, IM Self Test Only",
,,,,"3=IB Suppressed, IM Fully Enabled","B=IB Self Test Only, IM Fully Enabled",
,,,,"4=IB Continuous Only, IM Suppressed","C=IB Fully Enabled, IM Suppressed",
,,,,"5=IB Continuous Only, IM Continuous Only","D=IB Fully Enabled, IM Continuous Only",
,,,,"6=IB Continuous Only, IM Self Test Only","E=IB Fully Enabled, IM Self Test Only",
,,,,"7=IB Continuous Only, IM Fully Enabled","F=IB Fully Enabled, IM Fully Enabled",
706-02-01,xx*x,xxxx,xxxx,"DTC $F00096 Imager Malfunction (IM), DTC $92D813 Heater Open Circuit (HOC)",,
,,,,"0=IM Suppressed, HOC Suppressed","8=IM Self Test Only, HOC Suppressed",
,,,,"1=IM Suppressed, HOC Continuous Only","9=IM Self Test Only, HOC Continuous Only",
,,,,"2=IM Suppressed, HOC Self Test Only","A=IM Self Test Only, HOC Self Test Only",
,,,,"3=IM Suppressed, HOC Fully Enabled","B=IM Self Test Only, HOC Fully Enabled",
,,,,"4=IM Continuous Only, HOC Suppressed","C=IM Fully Enabled, HOC Suppressed",
,,,,"5=IM Continuous Only, HOC Continuous Only","D=IM Fully Enabled, HOC Continuous Only",
,,,,"6=IM Continuous Only, HOC Self Test Only","E=IM Fully Enabled, HOC Self Test Only",
,,,,"7=IM Continuous Only, HOC Fully Enabled","F=IM Fully Enabled, HOC Fully Enabled",
706-02-01,xxx*,xxxx,xxxx,"DTC $92D811 Heater Short Circuit (HSC), DTC $D00011 Heater Disabled Short Circuit (HDSC)",,
,,,,"0=HSC Suppressed, HDSC Suppressed","8=HSC Self Test Only, HDSC Suppressed",
,,,,"1=HSC Suppressed, HDSC Continuous Only","9=HSC Self Test Only, HDSC Continuous Only",
,,,,"2=HSC Suppressed, HDSC Self Test Only","A=HSC Self Test Only, HDSC Self Test Only",
,,,,"3=HSC Suppressed, HDSC Fully Enabled","B=HSC Self Test Only, HDSC Fully Enabled",
,,,,"4=HSC Continuous Only, HDSC Suppressed","C=HSC Fully Enabled, HDSC Suppressed",
,,,,"5=HSC Continuous Only, HDSC Continuous Only","D=HSC Fully Enabled, HDSC Continuous Only",
,,,,"6=HSC Continuous Only, HDSC Self Test Only","E=HSC Fully Enabled, HDSC Self Test Only",
,,,,"7=HSC Continuous Only, HDSC Fully Enabled","F=HSC Fully Enabled, HDSC Fully Enabled",
706-02-01,xxxx,*xxx,xxxx,"DTC $F00049 Heater Disabled Short Circuit Latch (HDSCL), 
DTC $93A614 Lane Assist Switch Stuck or Grounded (LASSG)",,
,,,,"0=LASSGL Suppressed, LASSG Suppressed","8=LASSGL Self Test Only, LASSG Suppressed",
,,,,"1=LASSGL Suppressed, LASSG Continuous Only","9=LASSGL Self Test Only, LASSG Continuous Only",
,,,,"2=LASSGL Suppressed, LASSG Self Test Only","A=LASSGL Self Test Only, LASSG Self Test Only",
,,,,"3=LASSGL Suppressed, LASSG Fully Enabled","B=LASSGL Self Test Only, LASSG Fully Enabled",
,,,,"4=LASSGL Continuous Only, LASSG Suppressed","C=LASSGL Fully Enabled, LASSG Suppressed",
,,,,"5=LASSGL Continuous Only, LASSG Continuous Only","D=LASSGL Fully Enabled, LASSG Continuous Only",
,,,,"6=LASSGL Continuous Only, LASSG Self Test Only","E=LASSGL Fully Enabled, LASSG Self Test Only",
,,,,"7=LASSGL Continuous Only, LASSG Fully Enabled","F=LASSGL Fully Enabled, LASSG Fully Enabled",
706-02-01,xxxx,x*xx,xxxx,"DTC $E01A54 Calibration Mismatch (CM), DTC $E10000 Configuration Not Complete (CNC)",,
,,,,"0=CM Suppressed, CNC Suppressed","8=CM Self Test Only, CNC Suppressed",
,,,,"1=CM Suppressed, CNC Continuous Only","9=CM Self Test Only, CNC Continuous Only",
,,,,"2=CM Suppressed, CNC Self Test Only","A=CM Self Test Only, CNC Self Test Only",
,,,,"3=CM Suppressed, CNC Fully Enabled","B=CM Self Test Only, CNC Fully Enabled",
,,,,"4=CM Continuous Only, CNC Suppressed","C=CM Fully Enabled, CNC Suppressed",
,,,,"5=CM Continuous Only, CNC Continuous Only","D=CM Fully Enabled, CNC Continuous Only",
,,,,"6=CM Continuous Only, CNC Self Test Only","E=CM Fully Enabled, CNC Self Test Only",
,,,,"7=CM Continuous Only, CNC Fully Enabled","F=CM Fully Enabled, CNC Fully Enabled",
706-02-01,xxxx,xx*x,xxxx,"DTC $500178 Alignment Not Complete (ANC), DTC $C21287 Lost Communication - SCCM (LCSCCM)",,
,,,,"0=ANC Suppressed, LCSCCM Suppressed","8=ANC Self Test Only, LCSCCM Suppressed",
,,,,"1=ANC Suppressed, LCSCCM Continuous Only","9=ANC Self Test Only, LCSCCM Continuous Only",
,,,,"2=ANC Suppressed, LCSCCM Self Test Only","A=ANC Self Test Only, LCSCCM Self Test Only",
,,,,"3=ANC Suppressed, LCSCCM Fully Enabled","B=ANC Self Test Only, LCSCCM Fully Enabled",
,,,,"4=ANC Continuous Only, LCSCCM Suppressed","C=ANC Fully Enabled, LCSCCM Suppressed",
,,,,"5=ANC Continuous Only, LCSCCM Continuous Only","D=ANC Fully Enabled, LCSCCM Continuous Only",
,,,,"6=ANC Continuous Only, LCSCCM Self Test Only","E=ANC Fully Enabled, LCSCCM Self Test Only",
,,,,"7=ANC Continuous Only, LCSCCM Fully Enabled","F=ANC Fully Enabled, LCSCCM Fully Enabled",
706-02-01,xxxx,xxx*,xxxx,"DTC $C42900 Invalid Data - SCCM (IDSCCM), DTC $C15187 Lost Communication - RCM (LCRCM)",,
,,,,"0=IDSCCM Suppressed, LCRCM Suppressed","8=IDSCCM Self Test Only, LCRCM Suppressed",
,,,,"1=IDSCCM Suppressed, LCRCM Continuous Only","9=IDSCCM Self Test Only, LCRCM Continuous Only",
,,,,"2=IDSCCM Suppressed, LCRCM Self Test Only","A=IDSCCM Self Test Only, LCRCM Self Test Only",
,,,,"3=IDSCCM Suppressed, LCRCM Fully Enabled","B=IDSCCM Self Test Only, LCRCM Fully Enabled",
,,,,"4=IDSCCM Continuous Only, LCRCM Suppressed","C=IDSCCM Fully Enabled, LCRCM Suppressed",
,,,,"5=IDSCCM Continuous Only, LCRCM Continuous Only","D=IDSCCM Fully Enabled, LCRCM Continuous Only",
,,,,"6=IDSCCM Continuous Only, LCRCM Self Test Only","E=IDSCCM Fully Enabled, LCRCM Self Test Only",
,,,,"7=IDSCCM Continuous Only, LCRCM Fully Enabled","F=IDSCCM Fully Enabled, LCRCM Fully Enabled",
706-02-01,xxxx,xxxx,*xxx,"DTC $C45200 Invalid Data - RCM (IDRCM), DTC $C10087 Lost Communication - EMC/PCM""A"" (LCPCM)",,
,,,,"0=IDRCM Suppressed, LCPCM Suppressed","8=IDRCM Self Test Only, LCPCM Suppressed",
,,,,"1=IDRCM Suppressed, LCPCM Continuous Only","9=IDRCM Self Test Only, LCPCM Continuous Only",
,,,,"2=IDRCM Suppressed, LCPCM Self Test Only","A=IDRCM Self Test Only, LCPCM Self Test Only",
,,,,"3=IDRCM Suppressed, LCPCM Fully Enabled","B=IDRCM Self Test Only, LCPCM Fully Enabled",
,,,,"4=IDRCM Continuous Only, LCPCM Suppressed","C=IDRCM Fully Enabled, LCPCM Suppressed",
,,,,"5=IDRCM Continuous Only, LCPCM Continuous Only","D=IDRCM Fully Enabled, LCPCM Continuous Only",
,,,,"6=IDRCM Continuous Only, LCPCM Self Test Only","E=IDRCM Fully Enabled, LCPCM Self Test Only",
,,,,"7=IDRCM Continuous Only, LCPCM Fully Enabled","F=IDRCM Fully Enabled, LCPCM Fully Enabled",
706-02-01,xxxx,xxxx,x*xx,"DTC $C40100 Invalid Data - PCM (IDPCM), DTC $C13187 Lost Communication - PSCM (LCPSCM)",,
,,,,"0=IDPCM Suppressed, LCPSCM Suppressed","8=IDPCM Self Test Only, LCPSCM Suppressed",
,,,,"1=IDPCM Suppressed, LCPSCM Continuous Only","9=IDPCM Self Test Only, LCPSCM Continuous Only",
,,,,"2=IDPCM Suppressed, LCPSCM Self Test Only","A=IDPCM Self Test Only, LCPSCM Self Test Only",
,,,,"3=IDPCM Suppressed, LCPSCM Fully Enabled","B=IDPCM Self Test Only, LCPSCM Fully Enabled",
,,,,"4=IDPCM Continuous Only, LCPSCM Suppressed","C=IDPCM Fully Enabled, LCPSCM Suppressed",
,,,,"5=IDPCM Continuous Only, LCPSCM Continuous Only","D=IDPCM Fully Enabled, LCPSCM Continuous Only",
,,,,"6=IDPCM Continuous Only, LCPSCM Self Test Only","E=IDPCM Fully Enabled, LCPSCM Self Test Only",
,,,,"7=IDPCM Continuous Only, LCPSCM Fully Enabled","F=IDPCM Fully Enabled, LCPSCM Fully Enabled",
,,,,,,
706-02-02,*xxx,xxxx,xxxx,"DTC $C42000 Invalid Data - PSCM (IDPSCM), DTC $C14087 Lost Communication - BCM (LCBCM)",,
,,,,"0=IDPSCM Suppressed, LCBCM Suppressed","8=IDPSCM Self Test Only, LCBCM Suppressed",
,,,,"1=IDPSCM Suppressed, LCBCM Continuous Only","9=IDPSCM Self Test Only, LCBCM Continuous Only",
,,,,"2=IDPSCM Suppressed, LCBCM Self Test Only","A=IDPSCM Self Test Only, LCBCM Self Test Only",
,,,,"3=IDPSCM Suppressed, LCBCM Fully Enabled","B=IDPSCM Self Test Only, LCBCM Fully Enabled",
,,,,"4=IDPSCM Continuous Only, LCBCM Suppressed","C=IDPSCM Fully Enabled, LCBCM Suppressed",
,,,,"5=IDPSCM Continuous Only, LCBCM Continuous Only","D=IDPSCM Fully Enabled, LCBCM Continuous Only",
,,,,"6=IDPSCM Continuous Only, LCBCM Self Test Only","E=IDPSCM Fully Enabled, LCBCM Self Test Only",
,,,,"7=IDPSCM Continuous Only, LCBCM Fully Enabled","F=IDPSCM Fully Enabled, LCBCM Fully Enabled",
706-02-02,x*xx,xxxx,xxxx,"DTC $C42200 Invalid Data - BCM (IDBCM), DTC $C15587 Lost Communication - IPC (LCIPC)",,
,,,,"0=IDBCM Suppressed, LCIPC Suppressed","8=IDBCM Self Test Only, LCIPC Suppressed",
,,,,"1=IDBCM Suppressed, LCIPC Continuous Only","9=IDBCM Self Test Only, LCIPC Continuous Only",
,,,,"2=IDBCM Suppressed, LCIPC Self Test Only","A=IDBCM Self Test Only, LCIPC Self Test Only",
,,,,"3=IDBCM Suppressed, LCIPC Fully Enabled","B=IDBCM Self Test Only, LCIPC Fully Enabled",
,,,,"4=IDBCM Continuous Only, LCIPC Suppressed","C=IDBCM Fully Enabled, LCIPC Suppressed",
,,,,"5=IDBCM Continuous Only, LCIPC Continuous Only","D=IDBCM Fully Enabled, LCIPC Continuous Only",
,,,,"6=IDBCM Continuous Only, LCIPC Self Test Only","E=IDBCM Fully Enabled, LCIPC Self Test Only",
,,,,"7=IDBCM Continuous Only, LCIPC Fully Enabled","F=IDBCM Fully Enabled, LCIPC Fully Enabled",
706-02-02,xx*x,xxxx,xxxx,"DTC $C42300 Invalid Data - IPC (IDIPC), DTC $C10487 Lost Communication - CCM (LCCCM)",,
,,,,"0=IDIPC Suppressed, LCCCM Suppressed","8=IDIPC Self Test Only, LCCCM Suppressed",
,,,,"1=IDIPC Suppressed, LCCCM Continuous Only","9=IDIPC Self Test Only, LCCCM Continuous Only",
,,,,"2=IDIPC Suppressed, LCCCM Self Test Only","A=IDIPC Self Test Only, LCCCM Self Test Only",
,,,,"3=IDIPC Suppressed, LCCCM Fully Enabled","B=IDIPC Self Test Only, LCCCM Fully Enabled",
,,,,"4=IDIPC Continuous Only, LCCCM Suppressed","C=IDIPC Fully Enabled, LCCCM Suppressed",
,,,,"5=IDIPC Continuous Only, LCCCM Continuous Only","D=IDIPC Fully Enabled, LCCCM Continuous Only",
,,,,"6=IDIPC Continuous Only, LCCCM Self Test Only","E=IDIPC Fully Enabled, LCCCM Self Test Only",
,,,,"7=IDIPC Continuous Only, LCCCM Fully Enabled","F=IDIPC Fully Enabled, LCCCM Fully Enabled",
706-02-02,xxx*,xxxx,xxxx,"DTC $C40500 Invalid Data - CCM (IDCCM), 
DTC $5A6708 Forward Looking Sensor - Bus Signal/Message Failure (FLSBSMF)",,
,,,,"0=IDCCM Suppressed, FLSBSMF Suppressed","8=IDCCM Self Test Only, FLSBSMF Suppressed",
,,,,"1=IDCCM Suppressed, FLSBSMF Continuous Only","9=IDCCM Self Test Only, FLSBSMF Continuous Only",
,,,,"2=IDCCM Suppressed, FLSBSMF Self Test Only","A=IDCCM Self Test Only, FLSBSMF Self Test Only",
,,,,"3=IDCCM Suppressed, FLSBSMF Fully Enabled","B=IDCCM Self Test Only, FLSBSMF Fully Enabled",
,,,,"4=IDCCM Continuous Only, FLSBSMF Suppressed","C=IDCCM Fully Enabled, FLSBSMF Suppressed",
,,,,"5=IDCCM Continuous Only, FLSBSMF Continuous Only","D=IDCCM Fully Enabled, FLSBSMF Continuous Only",
,,,,"6=IDCCM Continuous Only, FLSBSMF Self Test Only","E=IDCCM Fully Enabled, FLSBSMF Self Test Only",
,,,,"7=IDCCM Continuous Only, FLSBSMF Fully Enabled","F=IDCCM Fully Enabled, FLSBSMF Fully Enabled",
706-02-02,xxxx,*xxx,xxxx,"DTC $E10100 Configuration Incompatible (CI), DTC $C40564 Signal Plausibility Failure - CCM (SPFCCM)",,
,,,,"0=CI Suppressed, SPFCCM Suppressed","8=CI Self Test Only, SPFCCM Suppressed",
,,,,"1=CI Suppressed, SPFCCM Continuous Only","9=CI Self Test Only, SPFCCM Continuous Only",
,,,,"2=CI Suppressed, SPFCCM Self Test Only","A=CI Self Test Only, SPFCCM Self Test Only",
,,,,"3=CI Suppressed, SPFCCM Fully Enabled","B=CI Self Test Only, SPFCCM Fully Enabled",
,,,,"4=CI Continuous Only, SPFCCM Suppressed","C=CI Fully Enabled, SPFCCM Suppressed",
,,,,"5=CI Continuous Only, SPFCCM Continuous Only","D=CI Fully Enabled, SPFCCM Continuous Only",
,,,,"6=CI Continuous Only, SPFCCM Self Test Only","E=CI Fully Enabled, SPFCCM Self Test Only",
,,,,"7=CI Continuous Only, SPFCCM Fully Enabled","F=CI Fully Enabled, SPFCCM Fully Enabled",
706-02-02,xxxx,x*xx,xxxx,"DTC $928614 OEC Drive Short to Ground (OEC), DTC $500176 General Failure: Alignment (GFA)",,
,,,,"0=OEC Suppressed, GFA Suppressed","8=OEC Self Test Only, GFA Suppressed",
,,,,"1=OEC Suppressed, GFA Continuous Only","9=OEC Self Test Only, GFA Continuous Only",
,,,,"2=OEC Suppressed, GFA Self Test Only","A=OEC Self Test Only, GFA Self Test Only",
,,,,"3=OEC Suppressed, GFA Fully Enabled","B=OEC Self Test Only, GFA Fully Enabled",
,,,,"4=OEC Continuous Only, GFA Suppressed","C=OEC Fully Enabled, GFA Suppressed",
,,,,"5=OEC Continuous Only, GFA Continuous Only","D=OEC Fully Enabled, GFA Continuous Only",
,,,,"6=OEC Continuous Only, GFA Self Test Only","E=OEC Fully Enabled, GFA Self Test Only",
,,,,"7=OEC Continuous Only, GFA Fully Enabled","F=OEC Fully Enabled, GFA Fully Enabled",
706-02-02,xxxx,xx*x,xxxx,"DTC $E20000 Configuration Memory Corrupt (CMC), DTC $C12187 Lost Communication - ABS (LCABS)",,
,,,,"0=CMC Suppressed, LCABS Suppressed","8=CMC Self Test Only, LCABS Suppressed",
,,,,"1=CMC Suppressed, LCABS Continuous Only","9=CMC Self Test Only, LCABS Continuous Only",
,,,,"2=CMC Suppressed, LCABS Self Test Only","A=CMC Self Test Only, LCABS Self Test Only",
,,,,"3=CMC Suppressed, LCABS Fully Enabled","B=CMC Self Test Only, LCABS Fully Enabled",
,,,,"4=CMC Continuous Only, LCABS Suppressed","C=CMC Fully Enabled, LCABS Suppressed",
,,,,"5=CMC Continuous Only, LCABS Continuous Only","D=CMC Fully Enabled, LCABS Continuous Only",
,,,,"6=CMC Continuous Only, LCABS Self Test Only","E=CMC Fully Enabled, LCABS Self Test Only",
,,,,"7=CMC Continuous Only, LCABS Fully Enabled","F=CMC Fully Enabled, LCABS Fully Enabled",
706-02-02,xxxx,xxx*,xxxx,DTC $C41500 Invalid Data - ABS (IDABS),,
,,,,0=IDABS Suppressed,2=IDABS Self Test Only,
,,,,1=IDABS Continuous Only,3=IDABS Fully Enabled,
,,,,,,
706-03-01,*xxx,xxxx,xx,"AHB Feature Restriction (AFR), AHB Feature Init (AFI)",,
,,,,"0=AHB Full, AFI Off","8=AHB MyKey Restricted, AFI Off",
,,,,"2=AHB Full, AFI On","A=AHB MyKey Restricted, AFI On",
,,,,"4=AHB Full, AFI Last Known","C=AHB MyKey Restricted, AFI Last Known",
,,,,"6=AHB Full, AFI Invalid","E=AHB MyKey Restricted, AFI Invalid",
706-03-01,x***,xxxx,xx,"LDW Feature Restriction (LFR), LDW Feature Init (LFI), LKA Feature Restriction (LFR), LKA Feature Init (LFI)",,
,,,,"000=LDW Full, LFI Off, LKA Full, LFI Off","008=LDW Full, LFI Off, LKA Full, LFI On",
,,,,"010=LDW Full, LFI Off, LKA Full, LFI Last Known","018=LDW Full, LFI Off, LKA Full, LFI Invalid",
,,,,"020=LDW Full, LFI Off, LKA MyKey Restricted, LFI Off","028=LDW Full, LFI Off, LKA MyKey Restricted, LFI On",
,,,,"030=LDW Full, LFI Off, LKA MyKey Restricted, LFI Last Known","038=LDW Full, LFI Off, LKA MyKey Restricted, LFI Invalid",
,,,,"040=LDW Full, LFI On, LKA Full, LFI Off","048=LDW Full, LFI On, LKA Full, LFI On",
,,,,"050=LDW Full, LFI On, LKA Full, LFI Last Known","058=LDW Full, LFI On, LKA Full, LFI Invalid",
,,,,"060=LDW Full, LFI On, LKA MyKey Restricted, LFI Off","068=LDW Full, LFI On, LKA MyKey Restricted, LFI On",
,,,,"070=LDW Full, LFI On, LKA MyKey Restricted, LFI Last Known","078=LDW Full, LFI On, LKA MyKey Restricted, LFI Invalid",
,,,,"080=LDW Full, LFI Last Known, LKA Full, LFI Off","088=LDW Full, LFI Last Known, LKA Full, LFI On",
,,,,"090=LDW Full, LFI Last Known, LKA Full, LFI Last Known","098=LDW Full, LFI Last Known, LKA Full, LFI Invalid",
,,,,"0A0=LDW Full, LFI Last Known, LKA MyKey Restricted, LFI Off","0A8=LDW Full, LFI Last Known, LKA MyKey Restricted, LFI On",
,,,,"0B0=LDW Full, LFI Last Known, LKA MyKey Restricted, LFI Last Known","0B8=LDW Full, LFI Last Known, LKA MyKey Restricted, LFI Invalid",
,,,,"0C0=LDW Full, LFI Invalid, LKA Full, LFI Off","0C8=LDW Full, LFI Invalid, LKA Full, LFI On",
,,,,"0D0=LDW Full, LFI Invalid, LKA Full, LFI Last Known","0D8=LDW Full, LFI Invalid, LKA Full, LFI Invalid",
,,,,"0E0=LDW Full, LFI Invalid, LKA MyKey Restricted, LFI Off","0E8=LDW Full, LFI Invalid, LKA MyKey Restricted, LFI On",
,,,,"0F0=LDW Full, LFI Invalid, LKA MyKey Restricted, LFI Last Known","0F8=LDW Full, LFI Invalid, LKA MyKey Restricted, LFI Invalid",
,,,,"400=LDW MyKey Restricted, LFI Off, LKA Full, LFI Off","408=LDW MyKey Restricted, LFI Off, LKA Full, LFI On",
,,,,"410=LDW MyKey Restricted, LFI Off, LKA Full, LFI Last Known","418=LDW MyKey Restricted, LFI Off, LKA Full, LFI Invalid",
,,,,"420=LDW MyKey Restricted, LFI Off, LKA MyKey Restricted, LFI Off","428=LDW MyKey Restricted, LFI Off, LKA MyKey Restricted, LFI On",
,,,,"430=LDW MyKey Restricted, LFI Off, LKA MyKey Restricted, LFI Last Known","438=LDW MyKey Restricted, LFI Off, LKA MyKey Restricted, LFI Invalid",
